date,contest_number,n1,n2,n3,n4,n5,n6,jolly,super_star
2021-04-10,43,9,27,67,80,87,89,65,18
2021-04-13,44,1,36,48,63,68,87,23,36
2021-04-15,45,12,33,44,71,72,80,69,12
2021-04-17,46,7,20,63,68,74,88,13,11
2021-04-20,47,1,32,48,58,68,75,59,10
2021-04-22,48,8,11,46,47,72,81,68,80
2021-04-24,49,10,20,21,29,34,44,58,33
2021-04-27,50,41,49,56,58,60,68,59,79
2021-04-29,51,14,62,64,66,76,87,79,48
2021-05-03,52,15,18,40,43,57,72,39,12
2021-05-04,53,6,43,48,60,75,85,1,2
2021-05-06,54,5,28,38,55,79,89,31,26
2021-05-08,55,37,38,44,45,60,65,66,10
2021-05-11,56,23,30,50,59,60,83,16,86
2021-05-13,57,4,13,20,51,69,82,9,27
2021-05-15,58,15,36,49,59,60,62,77,20
2021-05-18,59,10,11,15,19,47,78,68,90
2021-05-20,60,27,31,36,39,46,67,19,88
2021-05-22,61,1,7,37,43,63,81,34,26
2021-05-25,62,5,39,45,49,59,71,4,9
2021-05-27,63,24,38,81,86,88,89,54,71
2021-05-29,64,23,31,62,71,74,77,8,80
2021-06-01,65,9,21,27,41,45,53,66,27
2021-06-03,66,17,27,40,72,86,87,48,2
2021-06-05,67,53,73,75,83,84,85,27,76
2021-06-08,68,2,9,11,72,76,86,67,79
2021-06-10,69,27,37,42,44,76,83,50,25
2021-06-12,70,2,9,27,54,69,78,16,62
2021-06-15,71,10,14,25,43,54,65,11,79
2021-06-17,72,20,33,39,42,43,78,40,49
2021-06-19,73,1,3,41,55,84,85,47,87
2021-06-22,74,30,51,56,59,65,68,83,40
2021-06-24,75,40,43,56,59,63,88,25,2
2021-06-26,76,28,39,44,57,61,88,43,26
2021-06-29,77,10,30,52,53,66,87,77,20
2021-07-01,78,8,11,44,86,88,89,31,8
2021-07-03,79,42,45,52,65,70,85,67,61
2021-07-06,80,11,15,20,40,69,73,65,48
2021-07-08,81,21,24,25,61,73,74,58,24
2021-07-10,82,8,13,16,27,32,62,4,31
2021-07-13,83,58,68,70,74,76,89,3,74
2021-07-15,84,2,25,37,54,57,87,80,77
2021-07-17,85,6,37,64,71,85,87,16,23
2021-07-20,86,28,34,49,65,79,90,1,80
2021-07-22,87,1,6,10,61,63,64,15,37
2021-07-24,88,21,25,40,50,71,87,22,18
2021-07-27,89,1,6,24,36,82,83,58,78
2021-07-29,90,3,14,21,31,84,89,45,68
2021-07-31,91,14,22,36,47,59,61,35,56
