date,contest_number,n1,n2,n3,n4,n5,n6,jolly,superstar,winners_6,prize_6,source_url
2009-07-18,86,4,32,34,56,61,82,81,6,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-21,87,27,32,40,49,75,82,5,84,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-23,88,9,12,60,69,72,89,2,80,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-25,89,7,35,36,41,45,88,52,46,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-28,90,1,21,29,40,63,70,39,26,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-30,91,2,68,77,81,83,84,19,7,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-01,92,17,21,23,31,33,37,79,51,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-04,93,4,8,51,72,74,88,85,41,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-06,94,40,41,49,56,61,63,2,67,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-08,95,24,51,58,61,74,77,43,20,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-11,96,26,29,40,50,54,72,78,85,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-13,97,11,29,56,63,88,90,22,8,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-17,98,4,10,27,28,34,57,71,58,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-18,99,2,19,43,49,77,82,50,7,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-20,100,2,16,38,67,70,84,4,44,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-22,101,10,11,27,45,79,88,42,63,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-25,102,4,5,22,48,53,86,41,10,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-27,103,15,20,36,69,74,87,86,53,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-08-29,104,15,19,26,34,67,69,50,77,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-01,105,12,14,19,38,41,45,31,28,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-09-03,106,18,54,56,58,62,66,32,45,,,https://lottologia.com/superenalotto/estrazioni/2009
